path,url
Главная/Женщинам,https://www.wildberries.ru/catalog/zhenshchinam
Главная/Аксессуары/Перчатки и варежки,https://www.wildberries.ru/catalog/aksessuary/perchatki-i-varezhki
Главная/Красота/Подарочные наборы,https://www.wildberries.ru/catalog/krasota/podarochnye-nabory
Главная/Аксессуары/Сумки и рюкзаки/Сумки,https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/sumki
"Главная/Бытовая техника/Красота и здоровье/Фены, приборы для укладки",https://www.wildberries.ru/catalog/elektronika/feny-i-pribory-dlya-ukladki
Главная/Обувь/Детская/Для мальчиков,https://www.wildberries.ru/catalog/obuv/detskaya/dlya-malchikov
Главная/Бытовая техника/Красота и здоровье/Зубные щетки и ирригаторы,https://www.wildberries.ru/catalog/elektronika/zubnye-shchetki
Главная/Бытовая техника/Красота и здоровье/Бритвы и триммеры,https://www.wildberries.ru/catalog/elektronika/krasota-i-zdorove/britvy-i-trimmery
Главная/Дом/Кухня/Термопосуда,https://www.wildberries.ru/catalog/dom-i-dacha/kuhnya/termosy-termosumki
Главная/Красота/Макияж/Глаза,https://www.wildberries.ru/catalog/krasota/makiyazh/glaza
Главная/Аксессуары/Сумки и рюкзаки/Сумки хозяйственные,https://www.wildberries.ru/catalog/aksessuary/hozyaystvennye-sumki/sumki-hozyaystvennye
"Главная/Электроника/ТВ, Аудио, Фото, Видео техника/Видеокамеры",https://www.wildberries.ru/catalog/elektronika/tv-audio-foto-video-tehnika/videokamery
Главная/Игрушки/Для малышей/Кубики,https://www.wildberries.ru/catalog/igrushki/dlya-malyshey/kubiki
Главная/Товары для взрослых/Секс игрушки/Вибраторы и стимуляторы,https://www.wildberries.ru/catalog/aksessuary/tovary-dlya-vzroslyh/vibratory
"Главная/Продукты/Сладости и хлебобулочные изделия/Торты, печенье, вафли, пряники",https://www.wildberries.ru/catalog/produkty/sladosti/pechene-vafli-pryaniki
Главная/Бытовая техника/Красота и здоровье/Массажеры электрические,https://www.wildberries.ru/catalog/elektronika/krasota-i-zdorove/massazhery-elektricheskie
Главная/Зоотовары/Для собак/Одежда/Обувь и носки,https://www.wildberries.ru/catalog/aksessuary/tovary-dlya-zhivotnyh/odezhda/obuv-i-noski
Главная/Автотовары,https://www.wildberries.ru/catalog/aksessuary/avtotovary/avtoaksessuary
Главная/Книги/Художественная литература/Фантастика и фэнтези,https://www.wildberries.ru/catalog/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi
Главная/Ювелирные изделия/Аксессуары для украшений,https://www.wildberries.ru/catalog/yuvelirnye-izdeliya/aksessuary-dlya-ukrasheniy
Главная/Для ремонта/Отделочные материалы/Обои,https://www.wildberries.ru/catalog/dlya-remonta/otdelochnye-materialy/oboi
"Главная/Сад и дача/Грили, мангалы и барбекю/Решетки и аксессуары для гриля и мангала",https://www.wildberries.ru/catalog/dom/dachniy-sezon/grili-mangaly-i-barbekyu/reshetki-i-aksessuary-dlya-grilya-i-mangala
Главная/Дом/Досуг и творчество/Творчество и рукоделие/Рисование и лепка,https://www.wildberries.ru/catalog/knigi-i-kantstovary/kantstovary/risovanie-i-lepka
Главная/Канцтовары/Чертежные принадлежности,https://www.wildberries.ru/catalog/knigi-i-kantstovary/kantstovary/chertezhnye-prinadlezhnosti
Главная/Здоровье/Уход за полостью рта,https://www.wildberries.ru/catalog/zdorove/uhod-za-polostyu-rta
